regionCd,regionNm,YEARMONTH,volume
27000,대구,201504,7677
27000,대구,201505,6245
27000,대구,201506,6406
27000,대구,201507,8102
27000,대구,201508,5025
27000,대구,201509,4523
27000,대구,201510,4576
27000,대구,201511,4016
27000,대구,201512,3604
27000,대구,201601,2535
27000,대구,201602,3239
27000,대구,201603,3573
27000,대구,201604,4575
27000,대구,201605,3770
27000,대구,201606,5046
27000,대구,201607,4650
27000,대구,201608,5166
27000,대구,201609,5495
27000,대구,201610,6009
27000,대구,201611,5936
27000,대구,201612,5193
27000,대구,201701,3583
27000,대구,201702,4020
27000,대구,201703,4601
27000,대구,201704,4404
27000,대구,201705,4688
27000,대구,201706,6599
27000,대구,201707,8051
27000,대구,201708,8004
27000,대구,201709,7094
27000,대구,201710,4550
27000,대구,201711,5381
27000,대구,201712,4435
27000,대구,201801,4538
27000,대구,201802,4092
27000,대구,201803,5291
27000,대구,201804,4457
27000,대구,201805,6084
27000,대구,201806,6490
27000,대구,201807,5473
27000,대구,201808,5473
27000,대구,201809,6293
27000,대구,201810,5660
27000,대구,201811,5816
27000,대구,201812,4833
27000,대구,201901,6765
27000,대구,201902,4553
27000,대구,201903,5500
28000,인천,200601,2143
28000,인천,200602,3948
28000,인천,200603,4482
28000,인천,200604,4134
28000,인천,200605,4216
28000,인천,200606,4732
28000,인천,200607,4043
28000,인천,200608,3191
28000,인천,200609,5485
28000,인천,200610,6528
28000,인천,200611,10611
28000,인천,200612,7109
28000,인천,200701,3768
28000,인천,200702,4706
28000,인천,200703,5273
28000,인천,200704,4496
28000,인천,200705,4735
28000,인천,200706,4685
28000,인천,200707,5123
28000,인천,200708,5475
28000,인천,200709,5873
28000,인천,200710,6540
28000,인천,200711,5662
28000,인천,200712,5482
28000,인천,200801,4474
28000,인천,200802,4483
28000,인천,200803,6345
28000,인천,200804,7441
28000,인천,200805,5842
28000,인천,200806,5066
28000,인천,200807,6452
28000,인천,200808,3738
28000,인천,200809,3655
28000,인천,200810,3027
28000,인천,200811,2943
28000,인천,200812,2850
28000,인천,200901,1926
28000,인천,200902,2942
28000,인천,200903,3640
28000,인천,200904,4225
28000,인천,200905,3105
28000,인천,200906,3764
28000,인천,200907,4548
28000,인천,200908,4062
28000,인천,200909,6146
28000,인천,200910,6172
28000,인천,200911,3831
28000,인천,200912,3053
28000,인천,201001,1956
28000,인천,201002,2327
28000,인천,201003,3051
28000,인천,201004,2721
